yt_id;q_id;videoname
RkUdm-GiSVc;Q1747569;Jan van Eyck, The Madonna in the Church
9fEublFSTOg;Q474198;Hals, Malle Babbe
YFtf-xA7_oM;Q28126510;Cezanne, The Large Bathers
eE7BR9HCffk;Q1451490;Friedrich, Woman at a Window
bcrsyGxUbkA;Q2409245;Christus, Portrait of a Young Girl
P1Lw1NVcI8o;Q17001535;Klimt, Death and Life
Vm1_vSny4BY;Q11702631;Peale, Staircase Group (Portrait of Raphaelle Peale and Titian Ramsay Peale)
xrA7-dNDsiE;Q7934007;David, Virgin and Child with Angels, ca. 1510-15
HUZDPWLTZ0g;Q2464824;Dali, Metamorphosis of Narcissus
3KjZ3w5MtBo;Q2571560;Millet, L'Angelus
AAeBt4zGDUA;Q1238886;Titian, Portrait of a Man (Man With a Quilted Sleeve), c. 1510-20
VByQr8OGDcY;Q3937515;van Dyck, Emmanuel Philibert of Savoy, Prince of Oneglia, 1624
A8GQfq3U96M;Q1626816;Donatello, Saint Mark
P9s3YA-glNk;Q2016193;Giotto, The Ognissanti Madonna
qwZn852brII;Q549847;Botticelli, Primavera
suIUUGdNyWk;Q867403;Parmigianino, Madonna of the Long Neck
jHN0BfowL7s;Q2344505;Raphael, Madonna of the Goldfinch
3B-V_pG3HPQ;Q2378534;Fra Angelico, The Annunciation
K9iMsmhBOjk;Q3687201;Rubens, the Consequences of War
6kUUJJV_MNA;Q735085;Donatello, David
QxNqWZPzsGw;Q1638622;Adoration of the Magi
7PsgPJoGWig;Q5815959;Simone Martini, Annunciation
w702yvnip_w;Q1061035;Magritte, The Treachery of Images (Ceci n?est pas une pipe)
ofJS_K0Fj2Q;Q20881158;Gauguin, The Red Cow
bhE7cHE4wF0;Q16933444;Head of Augustus, c. 27-25 B.C.E.
OSP1o2Zsbts;Q12860070;Fran‡ois Boucher, Venus Consoling Love, 1751
JHul281Kmtk;Q131221;Futurism
wf8L9AZa2H4;Q3937681;Lippi, Portrait of a Man and Woman at a Casement
RZ2a6nXElkE;Q19883529;Kirchner, Street, Dresden, oil on canvas, 1908
9bs1iQ14LJY;Q1090837;Seurat, Bathers at AsniŠres
9dbb6oITDa0;Q296955;Oil paint
YqTbqKCiYJw;Q1348059;Tempera paint
JrTsNuUQXzU;Q746716;Caravaggio, Narcissus at the Source
TkH-yjJ35vU;Q597114;Caravaggio, Death of the Virgin
NigP3DjV3NY;Q20188704;Degas, The Dance Class
XBPgPEo0Xx4;Q61895374;C‚zanne, Still Life with Plaster Cupid
j2-95i4pq9g;Q60423339;Braque, The Viaduct at L'Estaque
W3a2QIm3cXM;Q6807341;Bernini, Bust of Medusa
_38xl7p4VaM;Q386453;Vermeer, Young Woman with a Water Pitcher
2Qn-rXJghoU;Q16986541;Barnett Newman, Vir Heroicus Sublimis, 1950-51
uk7mTGrHfb4;Q1227359;Piero della Francesca, Portrait of Federico da Montefeltro and Portrait of Battista Sforza,1466
7PA0T4_KYC0;Q1218084;Rembrandt, The Three Crosses, 1653
ln9VIRiocps;Q254923;Raphael, Alba Madonna
NX3M0NTYTYg;Q6106762;Reynolds, Lady Cockburn and Her Three Eldest Sons
kOnzZHJYzb4;Q14127232;Bonheur, Plowing in the Nivernais
M7yd8F3eay4;Q3210239;Klee, Twittering Machine
653ZKHd_PYo;Q18752525;Munch, The Storm
xSixUm1cXSw;Q11824948;Rembrandt, Girl at a Window
bYyxwxEqTQo;Q1206860;Titian, Bacchus and Ariadne
WOnOq9YIrWI;Q50819288;Van Huysum, Vase with Flowers
g4XZGhnFOwM;Q3605055;Cranach, Adam and Eve
6V9x0d5wRpI;Q61473576;Vig‚e Le Brun, Madame Perregaux
_uUD1ZP79tE;Q74339;Renoir, La Loge
Nb6EQUS8hDo;Q28547935;Freud, Standing by the Rags
ovOKjwLE4qA;Q1314013;David, The Intervention of the Sabine Women
lSV-J1JHDFY;Q1978815;Ingres, La Grande Odalisque
h44bnIGogu8;Q3911405;Michelangelo, The Slaves
7d6S8y2kYSg;Q3268045;Matisse, Luxe, calme et volupt‚
UQiNvDOJi0c;Q18599452;David, The Lictors Returning to Brutus the Bodies of His Sons
TPM1LuW3Y5w;Q216402;Winged Victory (Nike) of Samothrace
zRuLkyLx3No;Q540488;Courbet, Burial at Ornans
6fHorNn2zqQ;Q3877090;Monet, Water Lilies
TlvXGblFsv8;Q920030;Goya, The Family of Charles IV
94xKRkCHlv0;Q11935346;Virgin of the Rocks
94xKRkCHlv0;Q4009972;Virgin of the Rocks
IiTtGENiVOA;Q208758;Vel zquez, Las Meninas
xz5DhwMsS1A;Q728027;Ribera, Martyrdom of Saint Philip
n2HWkDrorRg;Q43281370;Frida Kahlo, Frieda and Diego Rivera
irLOxG7SpUk;Q2622172;Degas, The Bellelli Family
asLQmxK7ExY;Q318947;Caravaggio, Supper at Emmaus
znKX9WcowfY;Q2529703;Manet, mile Zola
qv2K1yk0LCE;Q2632688;Piero della Francesca, The Baptism of Christ
Rx1HtFtc1cM;Q2909916;Gros, Napoleon Bonaparte Visiting the Plague-Stricken in Jaffa
2B68DWcOLj0;Q19753132;Girodet, The Sleep of Endymion
MQct5EFQ9x8;Q23904;Giotto, St. Francis Receiving the Stigmata
cLICU2cDHrs;Q685916;Caravaggio, Crucifixion of Saint Peter
Du-0kAn4u6w;Q959537;Mantegna, Dormition of the Virgin
6lH7zWK_SAg;Q2378534;Fra Angelico, The Annunciation (Prado)
20n0i2KQRCs;Q470541;Millais, The Vale of Rest
BXzR-hdSFUY;Q26689493;Manet, Corner of a Caf‚-Concert
rVI5Sjm0xKI;Q2629559;Fragonard, The Swing
IiB8Cvhhvvw;Q546297;Mantegna, Dead Christ, c. 1490
pPsqUFuysbU;Q2339059;Turner, Rain, steam, and speed ? the great western railway
3_-hYeuJTzQ;Q1114913;El Greco, Adoration of the Shepherds
gqSpWPONekE;Q3643629;Van Gogh, Self-Portrait Dedicated to Paul Gauguin
EczhLjFtyio;Q25820617;Guercino, Saint Luke Displaying a Painting of the Virgin
zfZu--psur8;Q19883529;Kirchner, Street, Dresden
049sSl4lEuk;Q3842743;Fra Filippo Lippi, Madonna and Child
7Hc08dgjLrM;Q49415308;Annibale Carracci, Crucifixion, 1583
